2.4606 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
28.5865 	EXP 	text: autoDraw = False
28.5865 	EXP 	text: height = 0.05000000000000001
28.5865 	EXP 	text: height = 0.05000000000000001
28.5865 	EXP 	text: height = 0.05000000000000001
28.5865 	EXP 	text: text = 'GBP 27 today or  GBP 50 after 21 days'
28.5865 	EXP 	fixation: autoDraw = True
29.5829 	EXP 	text: autoDraw = True
29.5993 	EXP 	fixation: autoDraw = False
30.5203 	EXP 	New trial (rep=1, index=0): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
30.5365 	DATA 	Keypress: t
30.5421 	EXP 	fixation: autoDraw = False
30.5421 	EXP 	text: autoDraw = False
30.5421 	EXP 	text: height = 0.05000000000000001
30.5421 	EXP 	text: height = 0.05000000000000001
30.5421 	EXP 	text: height = 0.05000000000000001
30.5421 	EXP 	text: text = 'GBP 78 today or  GBP 80 after 162 days'
30.5421 	EXP 	fixation: autoDraw = True
31.5347 	EXP 	text: autoDraw = True
31.5506 	EXP 	fixation: autoDraw = False
32.0409 	EXP 	New trial (rep=1, index=1): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
32.0695 	DATA 	Keypress: l
32.0765 	EXP 	fixation: autoDraw = False
32.0765 	EXP 	text: autoDraw = False
32.0765 	EXP 	text: height = 0.05000000000000001
32.0765 	EXP 	text: height = 0.05000000000000001
32.0765 	EXP 	text: height = 0.05000000000000001
32.0765 	EXP 	text: text = 'GBP 11 today or  GBP 30 after 7 days'
32.0765 	EXP 	fixation: autoDraw = True
33.0515 	EXP 	text: autoDraw = True
33.0995 	EXP 	fixation: autoDraw = False
33.8046 	EXP 	New trial (rep=1, index=2): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
33.8231 	DATA 	Keypress: t
33.8291 	EXP 	fixation: autoDraw = False
33.8291 	EXP 	text: autoDraw = False
33.8291 	EXP 	text: height = 0.05000000000000001
33.8291 	EXP 	text: height = 0.05000000000000001
33.8291 	EXP 	text: height = 0.05000000000000001
33.8291 	EXP 	text: text = 'GBP 40 today or  GBP 55 after 62 days'
33.8291 	EXP 	fixation: autoDraw = True
34.8021 	EXP 	text: autoDraw = True
34.8349 	EXP 	fixation: autoDraw = False
36.0697 	EXP 	New trial (rep=1, index=3): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
36.0824 	DATA 	Keypress: l
36.0885 	EXP 	fixation: autoDraw = False
36.0885 	EXP 	text: autoDraw = False
36.0885 	EXP 	text: height = 0.05000000000000001
36.0885 	EXP 	text: height = 0.05000000000000001
36.0885 	EXP 	text: height = 0.05000000000000001
36.0885 	EXP 	text: text = 'GBP 49 today or  GBP 60 after 89 days'
36.0885 	EXP 	fixation: autoDraw = True
37.0862 	EXP 	text: autoDraw = True
37.1032 	EXP 	fixation: autoDraw = False
37.5716 	EXP 	New trial (rep=1, index=4): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
37.5898 	DATA 	Keypress: l
37.5961 	EXP 	fixation: autoDraw = False
37.5961 	EXP 	text: autoDraw = False
37.5961 	EXP 	text: height = 0.05000000000000001
37.5961 	EXP 	text: height = 0.05000000000000001
37.5961 	EXP 	text: height = 0.05000000000000001
37.5961 	EXP 	text: text = 'GBP 27 today or  GBP 50 after 21 days'
37.5961 	EXP 	fixation: autoDraw = True
38.5855 	EXP 	text: autoDraw = True
38.6012 	EXP 	fixation: autoDraw = False
39.9512 	EXP 	New trial (rep=1, index=5): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
39.9604 	DATA 	Keypress: t
39.9668 	EXP 	fixation: autoDraw = False
39.9668 	EXP 	text: autoDraw = False
39.9668 	EXP 	text: height = 0.05000000000000001
39.9668 	EXP 	text: height = 0.05000000000000001
39.9668 	EXP 	text: height = 0.05000000000000001
39.9668 	EXP 	text: text = 'GBP 67 today or  GBP 75 after 119 days'
39.9668 	EXP 	fixation: autoDraw = True
40.9514 	EXP 	text: autoDraw = True
40.9679 	EXP 	fixation: autoDraw = False
41.5050 	EXP 	New trial (rep=1, index=6): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
41.5239 	DATA 	Keypress: l
41.5315 	EXP 	fixation: autoDraw = False
41.5315 	EXP 	text: autoDraw = False
41.5315 	EXP 	text: height = 0.05000000000000001
41.5315 	EXP 	text: height = 0.05000000000000001
41.5315 	EXP 	text: height = 0.05000000000000001
41.5315 	EXP 	text: text = 'GBP 15 today or  GBP 35 after 13 days'
41.5315 	EXP 	fixation: autoDraw = True
42.5189 	EXP 	text: autoDraw = True
42.5349 	EXP 	fixation: autoDraw = False
43.0564 	DATA 	Keypress: t
43.0683 	EXP 	fixation: autoDraw = False
43.0683 	EXP 	text: autoDraw = False
43.1675 	EXP 	window1: mouseVisible = True
