reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
40,55,62,0,0,0,3,17.94096580008045,18.81857530027628,18.81857530027628,18.949053999967873,t,1.1463092998601496,411622,001,2022-11-03_11h15.31.588,Tutorial 6,2022.2.2,60.36445646277052,
11,30,7,0,1,1,0,19.991935499943793,20.982738399878144,20.982738399878144,20.998936700168997,t,0.7598321000114083,411622,001,2022-11-03_11h15.31.588,Tutorial 6,2022.2.2,60.36445646277052,
49,60,89,0,2,2,4,21.78546919999644,22.767424100078642,22.767424100078642,22.800649399869144,l,0.8682760000228882,411622,001,2022-11-03_11h15.31.588,Tutorial 6,2022.2.2,60.36445646277052,
67,75,119,0,3,3,5,23.678637099917978,24.666247699875385,24.666247699875385,24.68294190010056,l,0.4927077000029385,411622,001,2022-11-03_11h15.31.588,Tutorial 6,2022.2.2,60.36445646277052,
15,35,13,0,4,4,1,25.19542480027303,26.18604060029611,26.18604060029611,26.200669700279832,t,0.8283876003697515,411622,001,2022-11-03_11h15.31.588,Tutorial 6,2022.2.2,60.36445646277052,
78,80,162,0,5,5,6,27.047908800188452,28.033189199864864,28.033189199864864,28.050246700178832,l,0.5322323003783822,411622,001,2022-11-03_11h15.31.588,Tutorial 6,2022.2.2,60.36445646277052,
27,50,21,0,6,6,2,28.586452099960297,29.582880800124258,29.582880800124258,29.599324200302362,t,0.9262594003230333,411622,001,2022-11-03_11h15.31.588,Tutorial 6,2022.2.2,60.36445646277052,
78,80,162,1,0,7,6,30.542127000167966,31.53471489995718,31.53471489995718,31.550635300111026,l,0.497000299859792,411622,001,2022-11-03_11h15.31.588,Tutorial 6,2022.2.2,60.36445646277052,
11,30,7,1,1,8,0,32.07654740009457,33.051477199885994,33.051477199885994,33.099496399983764,t,0.7377584995701909,411622,001,2022-11-03_11h15.31.588,Tutorial 6,2022.2.2,60.36445646277052,
40,55,62,1,2,9,3,33.82910430012271,34.80211229994893,34.80211229994893,34.834899600129575,l,1.2608811999671161,411622,001,2022-11-03_11h15.31.588,Tutorial 6,2022.2.2,60.36445646277052,
49,60,89,1,3,10,4,36.08846150012687,37.08624410023913,37.08624410023913,37.10319809988141,l,0.477050700224936,411622,001,2022-11-03_11h15.31.588,Tutorial 6,2022.2.2,60.36445646277052,
27,50,21,1,4,11,2,37.59613549988717,38.58554420014843,38.58554420014843,38.60119460010901,t,1.3523110002279282,411622,001,2022-11-03_11h15.31.588,Tutorial 6,2022.2.2,60.36445646277052,
67,75,119,1,5,12,5,39.96683300007135,40.95140160014853,40.95140160014853,40.96789380023256,l,0.5417035999707878,411622,001,2022-11-03_11h15.31.588,Tutorial 6,2022.2.2,60.36445646277052,
15,35,13,1,6,13,1,41.53154799994081,42.51887710019946,42.51887710019946,42.53491610009223,t,0.5219864998944104,411622,001,2022-11-03_11h15.31.588,Tutorial 6,2022.2.2,60.36445646277052,
